tx	gene_id	SRR29279085	SRR29279086	SRR29279087	SRR29279088	SRR29279093	SRR29279094	SRR29279095	SRR29279096	SRR29279101	SRR29279102	SRR29279103	SRR29279104	SRR29279109	SRR29279110	SRR29279111	SRR29279112	SRR29279117	SRR29279118	SRR29279119	SRR29279120	SRR29279125	SRR29279126	SRR29279127	SRR29279128	SRR29279133	SRR29279134	SRR29279135	SRR29279136	SRR29279141	SRR29279142	SRR29279143	SRR29279144	SRR29279149	SRR29279150	SRR29279151	SRR29279152	SRR29279157	SRR29279158	SRR29279159	SRR29279160	SRR29279161	SRR29279162	SRR29279163	SRR29279164	SRR29279165	SRR29279166	SRR29279167	SRR29279168	SRR29279169	SRR29279170	SRR29279171	SRR29279172	SRR29279173	SRR29279174	SRR29279175	SRR29279176	SRR29279177	SRR29279178	SRR29279179	SRR29279180
C1_13830C_A-T	C1_13830C_A	1004	1004	1004	1004	1004	1004	1004	1004	1004	1004	1004	1004	1004	1004	1004	1004	1004	1004	1004	1004	1004	1004	1004	1004	1004	1004	1004	1004	1004	1004	1004	1004	1004	1004	1004	1004	1004	1004	1004	1004	1004	1004	1004	1004	1004	1004	1004	1004	1004	1004	1004	1004	1004	1004	1004	1004	1004	1004	1004	1004
C1_13840W_A-T	C1_13840W_A	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706
C1_13850C_A-T	C1_13850C_A	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280	1280
C1_13860C_A-T	C1_13860C_A	1238	1238	1238	1238	1238	1238	1238	1238	1238	1238	1238	1238	1238	1238	1238	1238	1238	1238	1238	1238	1238	1238	1238	1238	1238	1238	1238	1238	1238	1238	1238	1238	1238	1238	1238	1238	1238	1238	1238	1238	1238	1238	1238	1238	1238	1238	1238	1238	1238	1238	1238	1238	1238	1238	1238	1238	1238	1238	1238	1238
C1_13870W_A-T	C1_13870W_A	1334	1334	1334	1334	1334	1334	1334	1334	1334	1334	1334	1334	1334	1334	1334	1334	1334	1334	1334	1334	1334	1334	1334	1334	1334	1334	1334	1334	1334	1334	1334	1334	1334	1334	1334	1334	1334	1334	1334	1334	1334	1334	1334	1334	1334	1334	1334	1334	1334	1334	1334	1334	1334	1334	1334	1334	1334	1334	1334	1334
C1_13880C_A-T	C1_13880C_A	3284	3284	3284	3284	3284	3284	3284	3284	3284	3284	3284	3284	3284	3284	3284	3284	3284	3284	3284	3284	3284	3284	3284	3284	3284	3284	3284	3284	3284	3284	3284	3284	3284	3284	3284	3284	3284	3284	3284	3284	3284	3284	3284	3284	3284	3284	3284	3284	3284	3284	3284	3284	3284	3284	3284	3284	3284	3284	3284	3284
C1_13890C_A-T	C1_13890C_A	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935	2.935
C1_13900C_A-T	C1_13900C_A	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460
C1_13910C_A-T	C1_13910C_A	1388	1388	1388	1388	1388	1388	1388	1388	1388	1388	1388	1388	1388	1388	1388	1388	1388	1388	1388	1388	1388	1388	1388	1388	1388	1388	1388	1388	1388	1388	1388	1388	1388	1388	1388	1388	1388	1388	1388	1388	1388	1388	1388	1388	1388	1388	1388	1388	1388	1388	1388	1388	1388	1388	1388	1388	1388	1388	1388	1388
C1_13920W_A-T	C1_13920W_A	830	830	830	830	830	830	830	830	830	830	830	830	830	830	830	830	830	830	830	830	830	830	830	830	830	830	830	830	830	830	830	830	830	830	830	830	830	830	830	830	830	830	830	830	830	830	830	830	830	830	830	830	830	830	830	830	830	830	830	830
C1_13930W_A-T	C1_13930W_A	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775
C1_13940W_A-T	C1_13940W_A	869	869	869	869	869	869	869	869	869	869	869	869	869	869	869	869	869	869	869	869	869	869	869	869	869	869	869	869	869	869	869	869	869	869	869	869	869	869	869	869	869	869	869	869	869	869	869	869	869	869	869	869	869	869	869	869	869	869	869	869
C1_13950C_A-T	C1_13950C_A	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245	245
C1_13960W_A-T	C1_13960W_A	1682	1682	1682	1682	1682	1682	1682	1682	1682	1682	1682	1682	1682	1682	1682	1682	1682	1682	1682	1682	1682	1682	1682	1682	1682	1682	1682	1682	1682	1682	1682	1682	1682	1682	1682	1682	1682	1682	1682	1682	1682	1682	1682	1682	1682	1682	1682	1682	1682	1682	1682	1682	1682	1682	1682	1682	1682	1682	1682	1682
C1_13970C_A-T	C1_13970C_A	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409
C1_13980C_A-T	C1_13980C_A	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775	1775
C1_13990W_A-T	C1_13990W_A	359	359	359	359	359	359	359	359	359	359	359	359	359	359	359	359	359	359	359	359	359	359	359	359	359	359	359	359	359	359	359	359	359	359	359	359	359	359	359	359	359	359	359	359	359	359	359	359	359	359	359	359	359	359	359	359	359	359	359	359
C1_14000C_A-T	C1_14000C_A	2186	2186	2186	2186	2186	2186	2186	2186	2186	2186	2186	2186	2186	2186	2186	2186	2186	2186	2186	2186	2186	2186	2186	2186	2186	2186	2186	2186	2186	2186	2186	2186	2186	2186	2186	2186	2186	2186	2186	2186	2186	2186	2186	2186	2186	2186	2186	2186	2186	2186	2186	2186	2186	2186	2186	2186	2186	2186	2186	2186
C1_14010W_A-T	C1_14010W_A	875	875	875	875	875	875	875	875	875	875	875	875	875	875	875	875	875	875	875	875	875	875	875	875	875	875	875	875	875	875	875	875	875	875	875	875	875	875	875	875	875	875	875	875	875	875	875	875	875	875	875	875	875	875	875	875	875	875	875	875
C1_14020W_A-T	C1_14020W_A	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158
C1_14030W_A-T	C1_14030W_A	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758
C1_14040W_A-T	C1_14040W_A	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054
C1_14050C_A-T	C1_14050C_A	3122	3122	3122	3122	3122	3122	3122	3122	3122	3122	3122	3122	3122	3122	3122	3122	3122	3122	3122	3122	3122	3122	3122	3122	3122	3122	3122	3122	3122	3122	3122	3122	3122	3122	3122	3122	3122	3122	3122	3122	3122	3122	3122	3122	3122	3122	3122	3122	3122	3122	3122	3122	3122	3122	3122	3122	3122	3122	3122	3122
C1_14060W_A-T	C1_14060W_A	1259	1259	1259	1259	1259	1259	1259	1259	1259	1259	1259	1259	1259	1259	1259	1259	1259	1259	1259	1259	1259	1259	1259	1259	1259	1259	1259	1259	1259	1259	1259	1259	1259	1259	1259	1259	1259	1259	1259	1259	1259	1259	1259	1259	1259	1259	1259	1259	1259	1259	1259	1259	1259	1259	1259	1259	1259	1259	1259	1259
C1_14080W_A-T	C1_14080W_A	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207
C1_14090W_A-T	C1_14090W_A	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167
C1_14100W_A-T	C1_14100W_A	416	416	416	416	416	416	416	416	416	416	416	416	416	416	416	416	416	416	416	416	416	416	416	416	416	416	416	416	416	416	416	416	416	416	416	416	416	416	416	416	416	416	416	416	416	416	416	416	416	416	416	416	416	416	416	416	416	416	416	416
C1_14110C_A-T	C1_14110C_A	842	842	842	842	842	842	842	842	842	842	842	842	842	842	842	842	842	842	842	842	842	842	842	842	842	842	842	842	842	842	842	842	842	842	842	842	842	842	842	842	842	842	842	842	842	842	842	842	842	842	842	842	842	842	842	842	842	842	842	842
C1_14120C_A-T	C1_14120C_A	566	566	566	566	566	566	566	566	566	566	566	566	566	566	566	566	566	566	566	566	566	566	566	566	566	566	566	566	566	566	566	566	566	566	566	566	566	566	566	566	566	566	566	566	566	566	566	566	566	566	566	566	566	566	566	566	566	566	566	566
C1_14130W_A-T	C1_14130W_A	896	896	896	896	896	896	896	896	896	896	896	896	896	896	896	896	896	896	896	896	896	896	896	896	896	896	896	896	896	896	896	896	896	896	896	896	896	896	896	896	896	896	896	896	896	896	896	896	896	896	896	896	896	896	896	896	896	896	896	896
C1_14140C_A-T	C1_14140C_A	2960	2960	2960	2960	2960	2960	2960	2960	2960	2960	2960	2960	2960	2960	2960	2960	2960	2960	2960	2960	2960	2960	2960	2960	2960	2960	2960	2960	2960	2960	2960	2960	2960	2960	2960	2960	2960	2960	2960	2960	2960	2960	2960	2960	2960	2960	2960	2960	2960	2960	2960	2960	2960	2960	2960	2960	2960	2960	2960	2960
C1_14150C_A-T	C1_14150C_A	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116
C1_14160W_A-T	C1_14160W_A	1505	1505	1505	1505	1505	1505	1505	1505	1505	1505	1505	1505	1505	1505	1505	1505	1505	1505	1505	1505	1505	1505	1505	1505	1505	1505	1505	1505	1505	1505	1505	1505	1505	1505	1505	1505	1505	1505	1505	1505	1505	1505	1505	1505	1505	1505	1505	1505	1505	1505	1505	1505	1505	1505	1505	1505	1505	1505	1505	1505
C1_14170W_A-T	C1_14170W_A	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427	1427
C1_14180W_A-T	C1_14180W_A	1322	1322	1322	1322	1322	1322	1322	1322	1322	1322	1322	1322	1322	1322	1322	1322	1322	1322	1322	1322	1322	1322	1322	1322	1322	1322	1322	1322	1322	1322	1322	1322	1322	1322	1322	1322	1322	1322	1322	1322	1322	1322	1322	1322	1322	1322	1322	1322	1322	1322	1322	1322	1322	1322	1322	1322	1322	1322	1322	1322
C1_14190C_A-T	C1_14190C_A	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125
C1_14200W_A-T	C1_14200W_A	743	743	743	743	743	743	743	743	743	743	743	743	743	743	743	743	743	743	743	743	743	743	743	743	743	743	743	743	743	743	743	743	743	743	743	743	743	743	743	743	743	743	743	743	743	743	743	743	743	743	743	743	743	743	743	743	743	743	743	743
C1_14210C_A-T	C1_14210C_A	2351	2351	2351	2351	2351	2351	2351	2351	2351	2351	2351	2351	2351	2351	2351	2351	2351	2351	2351	2351	2351	2351	2351	2351	2351	2351	2351	2351	2351	2351	2351	2351	2351	2351	2351	2351	2351	2351	2351	2351	2351	2351	2351	2351	2351	2351	2351	2351	2351	2351	2351	2351	2351	2351	2351	2351	2351	2351	2351	2351
C1_14220C_A-T	C1_14220C_A	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899	899
C1_14230C_A-T	C1_14230C_A	3020	3020	3020	3020	3020	3020	3020	3020	3020	3020	3020	3020	3020	3020	3020	3020	3020	3020	3020	3020	3020	3020	3020	3020	3020	3020	3020	3020	3020	3020	3020	3020	3020	3020	3020	3020	3020	3020	3020	3020	3020	3020	3020	3020	3020	3020	3020	3020	3020	3020	3020	3020	3020	3020	3020	3020	3020	3020	3020	3020
C1_14240W_A-T	C1_14240W_A	1436	1436	1436	1436	1436	1436	1436	1436	1436	1436	1436	1436	1436	1436	1436	1436	1436	1436	1436	1436	1436	1436	1436	1436	1436	1436	1436	1436	1436	1436	1436	1436	1436	1436	1436	1436	1436	1436	1436	1436	1436	1436	1436	1436	1436	1436	1436	1436	1436	1436	1436	1436	1436	1436	1436	1436	1436	1436	1436	1436
C1_14250C_A-T	C1_14250C_A	2429	2429	2429	2429	2429	2429	2429	2429	2429	2429	2429	2429	2429	2429	2429	2429	2429	2429	2429	2429	2429	2429	2429	2429	2429	2429	2429	2429	2429	2429	2429	2429	2429	2429	2429	2429	2429	2429	2429	2429	2429	2429	2429	2429	2429	2429	2429	2429	2429	2429	2429	2429	2429	2429	2429	2429	2429	2429	2429	2429
C1_14260C_A-T	C1_14260C_A	590	590	590	590	590	590	590	590	590	590	590	590	590	590	590	590	590	590	590	590	590	590	590	590	590	590	590	590	590	590	590	590	590	590	590	590	590	590	590	590	590	590	590	590	590	590	590	590	590	590	590	590	590	590	590	590	590	590	590	590
C1_14270W_A-T	C1_14270W_A	554	554	554	554	554	554	554	554	554	554	554	554	554	554	554	554	554	554	554	554	554	554	554	554	554	554	554	554	554	554	554	554	554	554	554	554	554	554	554	554	554	554	554	554	554	554	554	554	554	554	554	554	554	554	554	554	554	554	554	554
C1_14280C_A-T	C1_14280C_A	611	611	611	611	611	611	611	611	611	611	611	611	611	611	611	611	611	611	611	611	611	611	611	611	611	611	611	611	611	611	611	611	611	611	611	611	611	611	611	611	611	611	611	611	611	611	611	611	611	611	611	611	611	611	611	611	611	611	611	611
C1_14290C_A-T	C1_14290C_A	1733	1733	1733	1733	1733	1733	1733	1733	1733	1733	1733	1733	1733	1733	1733	1733	1733	1733	1733	1733	1733	1733	1733	1733	1733	1733	1733	1733	1733	1733	1733	1733	1733	1733	1733	1733	1733	1733	1733	1733	1733	1733	1733	1733	1733	1733	1733	1733	1733	1733	1733	1733	1733	1733	1733	1733	1733	1733	1733	1733
C1_14300C_A-T	C1_14300C_A	3521	3521	3521	3521	3521	3521	3521	3521	3521	3521	3521	3521	3521	3521	3521	3521	3521	3521	3521	3521	3521	3521	3521	3521	3521	3521	3521	3521	3521	3521	3521	3521	3521	3521	3521	3521	3521	3521	3521	3521	3521	3521	3521	3521	3521	3521	3521	3521	3521	3521	3521	3521	3521	3521	3521	3521	3521	3521	3521	3521
C1_14310W_A-T	C1_14310W_A	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764
C1_14320C_A-T	C1_14320C_A	446	446	446	446	446	446	446	446	446	446	446	446	446	446	446	446	446	446	446	446	446	446	446	446	446	446	446	446	446	446	446	446	446	446	446	446	446	446	446	446	446	446	446	446	446	446	446	446	446	446	446	446	446	446	446	446	446	446	446	446
C1_14330W_A-T	C1_14330W_A	1022	1022	1022	1022	1022	1022	1022	1022	1022	1022	1022	1022	1022	1022	1022	1022	1022	1022	1022	1022	1022	1022	1022	1022	1022	1022	1022	1022	1022	1022	1022	1022	1022	1022	1022	1022	1022	1022	1022	1022	1022	1022	1022	1022	1022	1022	1022	1022	1022	1022	1022	1022	1022	1022	1022	1022	1022	1022	1022	1022
C1_14340C_A-T	C1_14340C_A	1736	1736	1736	1736	1736	1736	1736	1736	1736	1736	1736	1736	1736	1736	1736	1736	1736	1736	1736	1736	1736	1736	1736	1736	1736	1736	1736	1736	1736	1736	1736	1736	1736	1736	1736	1736	1736	1736	1736	1736	1736	1736	1736	1736	1736	1736	1736	1736	1736	1736	1736	1736	1736	1736	1736	1736	1736	1736	1736	1736
C1_14350W_A-T	C1_14350W_A	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194
C1_14360C_A-T	C1_14360C_A	1226	1226	1226	1226	1226	1226	1226	1226	1226	1226	1226	1226	1226	1226	1226	1226	1226	1226	1226	1226	1226	1226	1226	1226	1226	1226	1226	1226	1226	1226	1226	1226	1226	1226	1226	1226	1226	1226	1226	1226	1226	1226	1226	1226	1226	1226	1226	1226	1226	1226	1226	1226	1226	1226	1226	1226	1226	1226	1226	1226
C1_14370W_A-T	C1_14370W_A	74.118	74.118	74.118	74.118	74.118	74.118	74.118	74.118	74.118	74.118	74.118	74.118	74.118	74.118	74.118	74.118	74.118	74.118	74.118	74.118	74.118	74.118	74.118	74.118	74.118	74.118	74.118	74.118	74.118	74.118	74.118	74.118	74.118	74.118	74.118	74.118	74.118	74.118	74.118	74.118	74.118	74.118	74.118	74.118	74.118	74.118	74.118	74.118	74.118	74.118	74.118	74.118	74.118	74.118	74.118	74.118	74.118	74.118	74.118	74.118
C1_14380C_A-T	C1_14380C_A	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550
C1_14390W_A-T	C1_14390W_A	12.15	12.15	12.15	12.15	12.15	12.15	12.15	12.15	12.15	12.15	12.15	12.15	12.15	12.15	12.15	12.15	12.15	12.15	12.15	12.15	12.15	12.15	12.15	12.15	12.15	12.15	12.15	12.15	12.15	12.15	12.15	12.15	12.15	12.15	12.15	12.15	12.15	12.15	12.15	12.15	12.15	12.15	12.15	12.15	12.15	12.15	12.15	12.15	12.15	12.15	12.15	12.15	12.15	12.15	12.15	12.15	12.15	12.15	12.15	12.15
C1_14400C_A-T	C1_14400C_A	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661	1661
C1_14410W_A-T	C1_14410W_A	14.754	14.754	14.754	14.754	14.754	14.754	14.754	14.754	14.754	14.754	14.754	14.754	14.754	14.754	14.754	14.754	14.754	14.754	14.754	14.754	14.754	14.754	14.754	14.754	14.754	14.754	14.754	14.754	14.754	14.754	14.754	14.754	14.754	14.754	14.754	14.754	14.754	14.754	14.754	14.754	14.754	14.754	14.754	14.754	14.754	14.754	14.754	14.754	14.754	14.754	14.754	14.754	14.754	14.754	14.754	14.754	14.754	14.754	14.754	14.754
C1_14420W_A-T	C1_14420W_A	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722	722
C1_14430C_A-T	C1_14430C_A	530	530	530	530	530	530	530	530	530	530	530	530	530	530	530	530	530	530	530	530	530	530	530	530	530	530	530	530	530	530	530	530	530	530	530	530	530	530	530	530	530	530	530	530	530	530	530	530	530	530	530	530	530	530	530	530	530	530	530	530
C1_14440C_A-T	C1_14440C_A	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100
C1_14450C_A-T	C1_14450C_A	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103
C1_14460W_A-T	C1_14460W_A	689	689	689	689	689	689	689	689	689	689	689	689	689	689	689	689	689	689	689	689	689	689	689	689	689	689	689	689	689	689	689	689	689	689	689	689	689	689	689	689	689	689	689	689	689	689	689	689	689	689	689	689	689	689	689	689	689	689	689	689
C1_14470W_A-T	C1_14470W_A	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479	479
C1_14480W_A-T	C1_14480W_A	65.324	65.324	65.324	65.324	65.324	65.324	65.324	65.324	65.324	65.324	65.324	65.324	65.324	65.324	65.324	65.324	65.324	65.324	65.324	65.324	65.324	65.324	65.324	65.324	65.324	65.324	65.324	65.324	65.324	65.324	65.324	65.324	65.324	65.324	65.324	65.324	65.324	65.324	65.324	65.324	65.324	65.324	65.324	65.324	65.324	65.324	65.324	65.324	65.324	65.324	65.324	65.324	65.324	65.324	65.324	65.324	65.324	65.324	65.324	65.324
C1_14490C_A-T	C1_14490C_A	506	506	506	506	506	506	506	506	506	506	506	506	506	506	506	506	506	506	506	506	506	506	506	506	506	506	506	506	506	506	506	506	506	506	506	506	506	506	506	506	506	506	506	506	506	506	506	506	506	506	506	506	506	506	506	506	506	506	506	506
C1_14500C_A-T	C1_14500C_A	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413	413
C1_14520W_A-T	C1_14520W_A	812	812	812	812	812	812	812	812	812	812	812	812	812	812	812	812	812	812	812	812	812	812	812	812	812	812	812	812	812	812	812	812	812	812	812	812	812	812	812	812	812	812	812	812	812	812	812	812	812	812	812	812	812	812	812	812	812	812	812	812
C1_14530W_A-T	C1_14530W_A	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167	71.167
C1_14550C_A-T	C1_14550C_A	83.038	83.038	83.038	83.038	83.038	83.038	83.038	83.038	83.038	83.038	83.038	83.038	83.038	83.038	83.038	83.038	83.038	83.038	83.038	83.038	83.038	83.038	83.038	83.038	83.038	83.038	83.038	83.038	83.038	83.038	83.038	83.038	83.038	83.038	83.038	83.038	83.038	83.038	83.038	83.038	83.038	83.038	83.038	83.038	83.038	83.038	83.038	83.038	83.038	83.038	83.038	83.038	83.038	83.038	83.038	83.038	83.038	83.038	83.038	83.038
C1_14560C_A-T	C1_14560C_A	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728
C1_14570C_A-T	C1_14570C_A	467	467	467	467	467	467	467	467	467	467	467	467	467	467	467	467	467	467	467	467	467	467	467	467	467	467	467	467	467	467	467	467	467	467	467	467	467	467	467	467	467	467	467	467	467	467	467	467	467	467	467	467	467	467	467	467	467	467	467	467
C1_14580C_A-T	C1_14580C_A	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278
C1_14590C_A-T	C1_14590C_A	9.012	9.012	9.012	9.012	9.012	9.012	9.012	9.012	9.012	9.012	9.012	9.012	9.012	9.012	9.012	9.012	9.012	9.012	9.012	9.012	9.012	9.012	9.012	9.012	9.012	9.012	9.012	9.012	9.012	9.012	9.012	9.012	9.012	9.012	9.012	9.012	9.012	9.012	9.012	9.012	9.012	9.012	9.012	9.012	9.012	9.012	9.012	9.012	9.012	9.012	9.012	9.012	9.012	9.012	9.012	9.012	9.012	9.012	9.012	9.012
